"forecastdate","lst","height","z","win_s","win_d","rh","tc","td"
"2018-01-01 20:00:00","2018-01-02 03:00:00",850,1547.76,8.11,264.39,23.32,3,-18.03
"2018-01-01 20:00:00","2018-01-02 04:00:00",850,1547.43,7.92,260.7,26.72,2.76,-16.06
"2018-01-01 20:00:00","2018-01-02 05:00:00",850,1549.22,8.29,258.75,31.53,2.64,-13.26
"2018-01-01 20:00:00","2018-01-02 06:00:00",850,1548.43,8.48,255.89,40.27,2.29,-10.14
"2018-01-01 20:00:00","2018-01-02 07:00:00",850,1549.74,8.42,247.05,47.65,2.23,-7.86
"2018-01-01 20:00:00","2018-01-02 08:00:00",850,1548.91,7.75,247.82,73.32,1.94,-2.38
"2018-01-01 20:00:00","2018-01-02 09:00:00",850,1547.77,8.08,248.09,79.97,1.6,-1.56
"2018-01-01 20:00:00","2018-01-02 10:00:00",850,1546.89,8.02,251.99,78.04,1.48,-1.97
"2018-01-01 20:00:00","2018-01-02 11:00:00",850,1545.39,7.84,250.78,87.88,1.23,-0.61
"2018-01-01 20:00:00","2018-01-02 12:00:00",850,1543.95,7.66,249.8,92.19,1.1,-0.09
"2018-01-01 20:00:00","2018-01-02 13:00:00",850,1541.92,7.22,247.11,96.53,1.15,0.6
"2018-01-01 20:00:00","2018-01-02 14:00:00",850,1541.43,7.31,239.36,99.61,1.37,1.26
"2018-01-01 20:00:00","2018-01-02 15:00:00",850,1541.87,7.08,229.66,99.45,1.72,1.61
"2018-01-01 20:00:00","2018-01-02 16:00:00",850,1544.78,6.63,226.08,99.6,1.95,1.85
"2018-01-01 20:00:00","2018-01-02 17:00:00",850,1546.2,6.09,232.1,100,2.16,2.14
"2018-01-01 20:00:00","2018-01-02 18:00:00",850,1547.4,5.49,232.75,100,2.3,2.28
"2018-01-01 20:00:00","2018-01-02 19:00:00",850,1550.6,5.14,222.87,100,2.43,2.41
"2018-01-01 20:00:00","2018-01-02 20:00:00",850,1553.01,4.53,215.79,100,2.55,2.54
"2018-01-01 20:00:00","2018-01-02 21:00:00",850,1554.82,4.51,206.47,98.47,2.78,2.52
"2018-01-01 20:00:00","2018-01-02 22:00:00",850,1552.65,3.61,194.56,98.01,2.7,2.34
"2018-01-01 20:00:00","2018-01-02 23:00:00",850,1553.26,3.21,188.92,99.79,2.66,2.59
"2018-01-01 20:00:00","2018-01-03 00:00:00",850,1554.45,2.46,191.74,100,2.64,2.62
"2018-01-01 20:00:00","2018-01-03 01:00:00",850,1554.41,1.76,223.17,100,2.49,2.47
"2018-01-01 20:00:00","2018-01-03 02:00:00",850,1555.44,1.96,236,100,2.38,2.37
"2018-01-01 20:00:00","2018-01-03 03:00:00",850,1557.34,2.02,228.02,100,2.33,2.31
"2018-01-01 20:00:00","2018-01-03 04:00:00",850,1557.97,1.62,238.13,100,2.3,2.28
"2018-01-01 20:00:00","2018-01-03 05:00:00",850,1559.67,0.65,248.64,100,2.25,2.23
"2018-01-01 20:00:00","2018-01-03 06:00:00",850,1560.19,2.21,333.87,100,1.94,1.92
"2018-01-01 20:00:00","2018-01-03 07:00:00",850,1560.66,2.88,331.86,100,1.79,1.77
"2018-01-01 20:00:00","2018-01-03 08:00:00",850,1561.52,3.85,337.31,100,1.55,1.53
"2018-01-01 20:00:00","2018-01-03 09:00:00",850,1562.13,3.5,328.77,100,1.73,1.71
"2018-01-01 20:00:00","2018-01-03 10:00:00",850,1558.59,3.65,326.46,100,1.63,1.62
"2018-01-01 20:00:00","2018-01-03 11:00:00",850,1557.98,3.67,324.52,100,1.72,1.7
"2018-01-01 20:00:00","2018-01-03 12:00:00",850,1556.4,3.68,329.06,100,1.47,1.45
"2018-01-01 20:00:00","2018-01-03 13:00:00",850,1553.18,3.52,349.37,100,1.11,1.1
"2018-01-01 20:00:00","2018-01-03 14:00:00",850,1551.94,4.68,10.71,100,0.67,0.66
"2018-01-01 20:00:00","2018-01-03 15:00:00",850,1551.55,4.91,7.46,100,0.53,0.51
"2018-01-01 20:00:00","2018-01-03 16:00:00",850,1554.46,4.95,0.73,99.95,0.17,0.14
"2018-01-01 20:00:00","2018-01-03 17:00:00",850,1555.79,4.55,359.78,99.83,0.16,0.11
"2018-01-01 20:00:00","2018-01-03 18:00:00",850,1556.4,4.45,0.58,99.72,0.16,0.09
"2018-01-01 20:00:00","2018-01-03 19:00:00",850,1558.11,4.49,354.24,99.7,0.02,-0.04
"2018-01-01 20:00:00","2018-01-03 20:00:00",850,1559.54,4.34,346.12,99.34,-0.16,-0.27
"2018-01-01 20:00:00","2018-01-03 21:00:00",850,1559.91,4.25,340.44,99.03,-0.13,-0.29
"2018-01-01 20:00:00","2018-01-03 22:00:00",850,1554.03,5.02,347.9,99.47,-0.38,-0.51
"2018-01-01 20:00:00","2018-01-03 23:00:00",850,1551.83,5.57,354.07,99.5,-0.59,-0.7
"2018-01-01 20:00:00","2018-01-04 00:00:00",850,1552.06,5.42,355.9,99.24,-0.42,-0.55
"2018-01-01 20:00:00","2018-01-04 01:00:00",850,1549.33,5.55,355.59,99.12,-0.53,-0.67
"2018-01-01 20:00:00","2018-01-04 02:00:00",850,1546.8,5.61,349.75,99.52,-0.57,-0.69
"2018-01-01 20:00:00","2018-01-04 03:00:00",850,1546.56,5.41,338.98,98.42,-0.27,-0.54
"2018-01-01 20:00:00","2018-01-04 04:00:00",850,1548.42,4.86,339.87,99.4,-0.31,-0.45
"2018-01-01 20:00:00","2018-01-04 05:00:00",850,1547.1,4.75,328.05,99.46,-0.21,-0.35
"2018-01-01 20:00:00","2018-01-04 06:00:00",850,1546.72,5.4,324.56,98.77,-0.28,-0.51
"2018-01-01 20:00:00","2018-01-04 07:00:00",850,1545.95,5.2,322.41,98.12,-0.16,-0.47
"2018-01-01 20:00:00","2018-01-04 08:00:00",850,1544.53,4.85,314.07,99.37,-0.16,-0.3
"2018-01-01 20:00:00","2018-01-04 09:00:00",850,1542.3,5.53,294.8,99.92,0.05,0.01
"2018-01-01 20:00:00","2018-01-04 10:00:00",850,1535.42,5.61,287.52,98.95,0.22,0.04
"2018-01-01 20:00:00","2018-01-04 11:00:00",850,1531.02,6.13,284.18,99.43,0.32,0.21
"2018-01-01 20:00:00","2018-01-04 12:00:00",850,1527.77,6.64,279.9,99.45,0.6,0.49
"2018-01-01 20:00:00","2018-01-04 13:00:00",850,1522.11,6.71,278.77,99.41,0.69,0.58
